"polygon" "year" "index" "annual_mean" "mean_climatology" "sd_climatology" "anomaly" "standardized_anomaly"
"GS" 2015 "Calanus" 16873.29507199 52399.5310802411 71770.0198666942 -35526.2360082511 -0.495001061365702
"GS" 2016 "Calanus" 19464.34787805 52399.5310802411 71770.0198666942 -32935.1832021911 -0.458898900451261
"GS" 2017 "Calanus" 0 52399.5310802411 71770.0198666942 -52399.5310802411 -0.730103338100897
"GS" 2018 "Calanus" 15182.6416344 52399.5310802411 71770.0198666942 -37216.8894458411 -0.518557602672646
"GS" 2019 "Calanus" 58243.103212 52399.5310802411 71770.0198666942 5843.57213175889 0.0814207957948564
"GS" 2020 "Calanus" NA NA NA NA NA
"GS" 2021 "Calanus" NA NA NA NA NA
"GS" 2022 "Calanus" NA NA NA NA NA
"GS" 2023 "Calanus" NA NA NA NA NA
"LAS" 1995 "Calanus" 19726.033336 18498.9717909333 10928.3335469413 1227.06154506667 0.112282585427685
"LAS" 1996 "Calanus" 12637.920001 18498.9717909333 10928.3335469413 -5861.05178993333 -0.536317066527841
"LAS" 1997 "Calanus" 26453.752 18498.9717909333 10928.3335469413 7954.78020906667 0.727904229395811
"LAS" 1998 "Calanus" 27486.873337 18498.9717909333 10928.3335469413 8987.90154606667 0.82244026570568
"LAS" 1999 "Calanus" 49291.853273 18498.9717909333 10928.3335469413 30792.8814820667 2.81771061889718
"LAS" 2000 "Calanus" 16342.3425 18498.9717909333 10928.3335469413 -2156.62929093333 -0.197342923481408
"LAS" 2001 "Calanus" 32141.350185 18498.9717909333 10928.3335469413 13642.3783940667 1.24834937874723
"LAS" 2002 "Calanus" 31215.219706 18498.9717909333 10928.3335469413 12716.2479150667 1.16360356869102
"LAS" 2003 "Calanus" 23397.266362 18498.9717909333 10928.3335469413 4898.29457106667 0.448219717125825
"LAS" 2004 "Calanus" 10963.1389286 18498.9717909333 10928.3335469413 -7535.83286233333 -0.689568343605558
"LAS" 2005 "Calanus" 11305.013091 18498.9717909333 10928.3335469413 -7193.95869993333 -0.658285059568561
"LAS" 2006 "Calanus" 20184.059998 18498.9717909333 10928.3335469413 1685.08820706667 0.154194434112812
"LAS" 2007 "Calanus" 8752.076 18498.9717909333 10928.3335469413 -9746.89579093333 -0.891892231241551
"LAS" 2008 "Calanus" 14323.500254 18498.9717909333 10928.3335469413 -4175.47153693334 -0.382077607624084
"LAS" 2009 "Calanus" 21745.045144 18498.9717909333 10928.3335469413 3246.07335306667 0.297032785385217
"LAS" 2010 "Calanus" 22354.044377 18498.9717909333 10928.3335469413 3855.07258606667 0.352759418396931
"LAS" 2011 "Calanus" 48162.678884 18498.9717909333 10928.3335469413 29663.7070930667 2.71438522311293
"LAS" 2012 "Calanus" 20073.907261 18498.9717909333 10928.3335469413 1574.93547006667 0.144114879299916
"LAS" 2013 "Calanus" 24536.26919 18498.9717909333 10928.3335469413 6037.29739906667 0.552444466773843
"LAS" 2014 "Calanus" 12569.3725675 18498.9717909333 10928.3335469413 -5929.59922343333 -0.542589517236411
"LAS" 2015 "Calanus" 11552.1706618 18498.9717909333 10928.3335469413 -6946.80112913333 -0.635668841849879
"LAS" 2016 "Calanus" 14621.7584826 18498.9717909333 10928.3335469413 -3877.21330833333 -0.354785410939304
"LAS" 2017 "Calanus" 0 18498.9717909333 10928.3335469413 -18498.9717909333 -1.69275321909542
"LAS" 2018 "Calanus" 11416.5431353 18498.9717909333 10928.3335469413 -7082.42865563334 -0.648079473893405
"LAS" 2019 "Calanus" 31938.221577 18498.9717909333 10928.3335469413 13439.2497860667 1.2297620427067
"LAS" 2020 "Calanus" NA NA NA NA NA
"LAS" 2021 "Calanus" NA NA NA NA NA
"LAS" 2022 "Calanus" NA NA NA NA NA
"LAS" 2023 "Calanus" NA NA NA NA NA
